Movie Name,Movie Genre,Movie Rating,Movie Votes,Movie Revenue,Movie Year Cleaned,Movie Budget Cleaned,Movie Languages,
Prey,"Action, Adventure, Drama",7.1,215224, ,2022,"65,000,000","English, North American Indian, French",
Insidious: The Red Door,"Horror, Mystery, Thriller",5.5,37071,"188,785,257",2023,"16,000,000",English,
M3GAN,"Horror, Sci-Fi, Thriller",6.4,126899,"179,968,873",2022,"12,000,000",English,
The Whale,Drama,7.7,181946,"54,883,206",2022,"10,000,000",English,
Smile,"Horror, Mystery, Thriller",6.5,142297,"217,408,513",2022,"17,000,000","English, Spanish",
Jeanne du Barry,"Biography, Drama, History",6.8,6037,"12,563,064",2023,"22,400,000",French,
Sisu,"Action, War",6.9,57792,"14,079,760",2022, ,"English, Finnish",
Heart of Stone,"Action, Crime, Thriller",5.7,50133, ,2023, ,English,
Terrifier 2,Horror,6.1,40651,"15,065,239",2022,250,English,
Knock at the Cabin,"Horror, Mystery, Thriller",6.1,99478,"54,760,947",2023,"20,000,000",English,
Rocky Aur Rani Kii Prem Kahaani,"Comedy, Drama, Family",6.8,37126,"5,627,462",2023, ,"Hindi, English",
Infinity Pool,"Crime, Horror, Mystery",6.1,43149,"5,183,424",2023, ,English,
A Very Venice Romance,Romance,6.5,316, ,2023, ,English,
Spider-Man: No Way Home,"Action, Adventure, Fantasy",8.2,835008,"1,921,847,111",2021,"200,000,000",English,
BlackBerry,"Biography, Comedy, Drama",7.4,23222,"1,813,319",2023, ,English,
The Fallout,Drama,7,30691, ,2021,"12,000,000",English,
The Caine Mutiny Court-Martial,"Drama, War",6.9,688, ,2023, ,English,
About Dry Grasses,Drama,8.1,2644,"1,619,344",2023,3675000,Turkish,
El Conde,"Comedy, Fantasy, History",6.5,5249, ,2023, ,Spanish,
Free Guy,"Action, Adventure, Comedy",7.1,404057,"331,526,598",2021,"120,000,000","English, Japanese, German",
The Burial,Drama,6.6,191, ,2023, ,English,
Jailer,"Action, Comedy, Crime",7.1,24669,"4,817,871",2023, ,"Tamil, Malayalam, Hindi, Telugu, Kannada",
Hocus Pocus 2,"Comedy, Family, Fantasy",6,49295, ,2022,"100,000,000",English,
It Lives Inside,"Drama, Horror, Thriller",5.5,1858,"5,485,459",2023, ,"English, Hindi",
Maestro,"Biography, Drama, Music",6.9,477,"3,291",2023, ,English,
Jules,"Comedy, Drama, Sci-Fi",6.8,4423,"1,969,336",2023, ,English,
Passages,"Drama, Romance",7,3962,"1,103,374",2023, ,"English, French",
When Evil Lurks,Horror,7.3,387,"205,752",2023, ,Spanish,
Triangle of Sadness,"Comedy, Drama",7.3,156039,"26,214,659",2022,10500000,"English, Swedish, German, French, Greek, Tagalog, Akan",
Mortal Kombat,"Action, Adventure, Fantasy",6.1,185086,"84,426,031",2021,"55,000,000","English, Japanese, Chinese",
Anatomy of a Fall,"Crime, Drama, Thriller",7.9,3521,"8,921,864",2023,6510000,"French, English, German",
To Catch a Killer,"Action, Crime, Drama",6.6,27247,"3,091,586",2023, ,English,
